participant,task_label,task_duration_s,pupil_mean_bc,pupil_slope,blink_time_frac,blink_per_min,pupil_valid_pct,fix_count,fix_rate_hz,fix_dur_mean_s,fix_dur_std_s,fix_dur_total_s,sac_count,sac_rate_hz,sac_amp_mean_px,sac_amp_std_px,pupil_mean_bc_z,pupil_slope_z,blink_time_frac_z,blink_per_min_z,pupil_valid_pct_z,fix_count_z,fix_rate_hz_z,fix_dur_mean_s_z,fix_dur_std_s_z,fix_dur_total_s_z,sac_count_z,sac_rate_hz_z,sac_amp_mean_px_z,sac_amp_std_px_z
P18,task3_8_2,276.03,0.2846,0.00107769,0.1011,10,95.5,423,1.781,0.5616,0.4881,237.54,304,36.409,138.0629,192.0957,1.075102101,0.4457588975,-1.102182924,0.6735738199,1.274214212,0.5534559735,-0.9476229171,0.9555360942,0.00391193781,0.8652519302,0.5505084682,0.7430811387,-0.07286807126,-0.1426640181
P18,task3_8_3,112.16,0.2638,0.00254062,0.1973,6.42,83.4,178,2.134,0.4686,0.5882,83.42,137,35.153,104.4122,145.8884,1.014086756,1.080035003,0.709263499,-1.170313052,-1.105921769,-0.8239372789,0.2143215088,-0.3342296063,1.219175653,-0.8912882556,-0.7670301109,0.1533739503,-1.18269394,-1.760684013
P19,task1_5_2,416.76,0.2971,0.00024404,0.0142,1.15,99.2,688,1.766,0.5663,0.5343,389.61,601,38.281,128.3271,204.4348,1.467396178,0.8292810336,-0.4774423159,-0.893804146,0.1036038253,0.4350830967,-0.110402267,0.07106461255,-0.3530914118,0.3939576451,0.5218728253,1.5572278,-0.5986729447,-0.7888209928
P19,task1_6_2,374.34,0.0627,-0.0003794,0.0033,0.64,100,581,1.649,0.6064,0.6225,352.3,479,37.547,150.0327,232.5464,0.1597380962,-0.0727060461,-1.49563995,-1.411804276,1.036038253,0.001351189741,-1.462188164,1.562181977,1.53053737,0.1404224904,-0.05057109296,0.3758949053,0.936973567,0.5317897266
P19,task2_2_1,406.68,0.2724,-2.81e-05,0.0336,2.36,97.9,654,1.762,0.5676,0.5381,371.23,552,37.465,128.2916,216.4237,1.32960115,0.4355514624,1.334762648,0.3351765547,-1.41160212,0.2972617431,-0.1566171695,0.1194050757,-0.2719373373,0.2690587938,0.2919568253,0.2439203857,-0.6011845293,-0.2256132831
P19,task2_5_1,448.51,0.0412,-8.208e-05,0.0327,2.14,97.9,717,1.746,0.5729,0.5802,410.74,609,37.594,137.2475,218.7254,0.03979505539,0.3574537103,1.250691284,0.1117255182,-1.41160212,0.5526366042,-0.3414767793,0.3164854256,0.6271643826,0.5375437565,0.5594101314,0.4515388373,0.0324352091,-0.1174853326
P19,task3_10_1,185.13,-0.1725,-0.00094539,0.0074,1.62,100,334,1.926,0.5192,0.463,173.4,287,37.085,144.8315,229.669,-1.152382982,-0.8915750106,-1.11264818,-0.4164314771,1.036038253,-0.9998804086,1.738193832,-1.680347554,-1.875798125,-1.075268723,-0.9514664397,-0.3676688512,0.5689945829,0.3966168697
P19,task3_3_1,121.76,-0.2126,-0.0018849,0.0147,1.97,99.6,215,1.897,0.5271,0.5618,113.32,183,36.545,149.1562,257.4554,-1.3760907,-2.250849169,-0.4307360024,-0.06094119177,0.5698210392,-1.482255146,1.403135789,-1.386586277,0.2342078114,-1.483534391,-1.439451419,-1.236769346,0.8749621889,1.701950529
P19,task3_4_2,606.55,-0.0348,-0.00020642,0.0283,2.47,98.4,970,1.735,0.5763,0.5379,558.98,814,36.583,119.0846,194.118,-0.3841896469,0.1775597775,0.8396757251,0.446902073,-0.8288306025,1.578189618,-0.4685677611,0.4429143294,-0.2762086044,1.544889008,1.521303601,-1.175610422,-1.252569307,-1.273477742
P19,task3_8_2,474.92,-0.0779,0.00031081,0.018,1.77,99.1,758,1.715,0.583,0.5215,441.9,651,37.999,117.7308,195.8596,-0.624633603,0.9258832364,-0.1224743332,-0.2640784977,-0.01295047816,0.7188329424,-0.6996422734,0.6920536396,-0.6264525047,0.7492874022,0.7564809885,1.103364208,-1.348349117,-1.19166185
