participant,task_id,n_explorations,total_duration_s,tonic_mean_uS,tonic_slope,scr_count,scr_rate,scr_amp_mean,scr_amp_sum,bc_mean_uS,tonic_mean_uS_z,tonic_slope_z,scr_count_z,scr_rate_z,scr_amp_mean_z,scr_amp_sum_z,bc_mean_uS_z
P04,task2_5_1,1,1131.73,10.8391,1.20E-05,67,0.0592,1.8197,121.9198,-2.3563,0.8221162064,0.7507869949,1.559604585,-0.3182314635,-0.7977234679,0.771632316,-0.6606434441
P04,task3_3_1,1,425.42,10.9355,-0.000618,22,0.0517,3.3781,74.3171,-0.9697,0.9259790978,0.2133596169,-0.720683707,-0.9319635718,0.539324401,-0.316091888,0.451635474
P04,task3_4_2,2,598.13,9.4402,-0.001224,37,0.0619,4.5253,167.4347,-2.2136,-0.6850808769,-0.3035943372,0.03941239023,-0.09728790457,1.523578325,1.81165018,-0.5461748147
P04,task3_8_2,1,320.8,8.9796,-0.002203,17,0.053,3.6003,61.2046,-3.3913,-1.181338634,-1.138739421,-0.9740490728,-0.8255833397,0.7299635414,-0.6157132041,-1.490881927
P04,task3_8_3,2,278.35,9.6685,-0.001905,21,0.0754,3.9304,82.5384,-1.2814,-0.4391068301,-0.884527741,-0.7713567802,1.00742989,1.013176774,-0.1282347497,0.2016013338
P04,task3_10_1,1,209.72,9.783,-0.002608,11,0.0525,2.5121,27.6333,-2.0096,-0.3157427111,-1.48422845,-1.278087512,-0.8664988136,-0.2036706288,-1.382819179,-0.3825336065
P05,task1_5_2,3,690.69,15.391,0.000534,50,0.0724,2.5502,127.5097,0.9938,-1.535750719,0.7170443003,0.3908308465,0.892176705,0.414552517,0.6155894381,1.305883427
P05,task1_6_2,1,398.32,19.1678,-1.10E-05,26,0.0653,2.646,68.7969,-1.2307,0.4257722148,0.2458734013,-0.753064314,-0.5092513051,0.5435112491,-0.5303733754,-0.6546074034
P05,task2_2_1,1,675.76,20.0496,0.000275,48,0.071,3.0677,147.2485,0.4486,0.8837448167,0.4931300565,0.2955062498,0.6158387875,1.111171973,1.000853482,0.825389113
P05,task2_5_1,1,978.66,19.6665,5.40E-05,69,0.0705,1.6819,116.05,-1.0789,0.6847775863,0.3020680956,1.296414515,0.5171466742,-0.7542874314,0.3919177676,-0.5208234034
P06,task1_5_2,1,252.44,3.4321,-0.000683,7,0.0277,1.2211,8.5477,-1.123,-0.636620761,0.449707706,-0.4848825746,-1.154320875,0.01351462616,-0.1740649408,-0.02361248525
P06,task1_6_2,2,279.36,2.9718,-0.000984,13,0.0465,0.2203,2.8644,-2.1885,-1.533122504,0.3277721464,0.6535373831,-0.3730765069,-1.089102591,-0.7375978732,-1.444139005
P06,task2_2_1,1,282.42,3.3576,-0.001134,21,0.0744,0.2009,4.2185,-1.2454,-0.7817204347,0.2670069174,2.17143066,0.7863233803,-1.110476266,-0.6033308199,-0.1867963858
P06,task2_5_1,1,228.14,3.7837,-0.001574,8,0.0351,0.5138,4.1106,0.5182,0.04817179325,0.08876224565,-0.2951459149,-0.8468097942,-0.7657431252,-0.6140297455,2.164438312
P06,task3_3_1,1,73.21,4.037,0.0004,4,0.0546,0.7201,2.8806,-1.4909,0.541510684,0.8884326595,-1.054092553,-0.03647653966,-0.5384550238,-0.735991547,-0.5140974281
P06,task3_4_2,1,154.28,3.8661,-0.002841,6,0.0389,1.1839,7.1033,-1.6237,0.2086578754,-0.4245013888,-0.6746192342,-0.6888986985,-0.02746994665,-0.3172857751,-0.6911466274
P06,task3_8_2,1,157.61,4.1385,0.001381,10,0.0634,1.8506,18.5056,-1.2485,0.7391968167,1.285837257,0.08432740427,0.3292123137,0.7070573301,0.8133199565,-0.1909293114
P06,task3_8_3,1,96.63,4.7238,-0.006944,5,0.0517,2.1612,10.8061,-0.6924,1.879154388,-2.086632953,-0.8643558938,-0.1569876391,1.049256478,0.04986882552,0.5504642106
P06,task3_10_1,1,112.11,3.5201,-0.003759,12,0.107,2.8076,33.6917,-0.8534,-0.4652278577,-0.7963845904,0.4638007235,2.14103436,1.761418518,2.31911192,0.3358187205
P07,task1_5_2,1,155.55,4.7993,0.001445,6,0.0386,1.5055,9.0329,-0.0779,-2.219951143,1.164754465,-0.03171009961,-0.2225563843,0.764607656,-0.02519326823,0.4437169157
P07,task1_6_2,1,479.68,8.1255,0.001434,34,0.0709,1.729,58.7853,0.9252,-0.6967263375,1.160557533,2.631938268,1.564657453,1.298712497,2.639653662,1.85810571
P07,task2_2_1,1,119.72,9.5341,-0.001712,5,0.0418,1.0646,5.3231,-0.5514,-0.05166156058,-0.0397648658,-0.1268403984,-0.04549495148,-0.2890246678,-0.2238982381,-0.2239264839
P07,task2_5_1,1,102.43,9.0062,-0.002125,2,0.0195,1.1729,2.3459,-1.6497,-0.293412019,-0.1973405654,-0.4122312949,-1.279391811,-0.03021681874,-0.383363556,-1.772548967
P07,task3_3_1,1,66.36,10.0788,-0.00274,2,0.0301,1.1059,2.2118,-0.5229,0.197782415,-0.4319871882,-0.4122312949,-0.6928758151,-0.1903287845,-0.3905462441,-0.1837409783
P07,task3_4_2,1,43.24,10.8367,0.001653,3,0.0694,1.5597,4.6791,-0.0792,0.5448607868,1.244114623,-0.3171009961,1.481659906,0.894131067,-0.2583922811,0.4418838926
P07,task3_8_2,1,42.96,11.4167,-0.005912,1,0.0233,0.9334,0.9334,-0.636,0.8104703073,-1.642229607,-0.5073615938,-1.06913136,-0.602557353,-0.4590201331,-0.3432139846
P07,task3_8_3,1,68.66,11.1847,-0.002919,3,0.0437,0.3094,0.9283,-0.9157,0.7042264991,-0.5002827093,-0.3171009961,0.05963527424,-2.093749392,-0.4592933003,-0.7375959463
P07,task3_10_1,1,21.6,11.8402,-0.003594,1,0.0463,1.2895,1.2895,-0.0257,1.004411052,-0.7578216856,-0.5073615938,0.2034976884,0.2484257963,-0.4399466414,0.5173198417
P08,task1_5_2,2,718,4.18,-0.000313,20,0.0279,1.5942,31.8837,-0.0329,0.1561455061,0.7659805317,0,-0.5239473908,-1.072051629,-0.5477842711,1.438492078
P08,task1_6_2,2,832.25,3.9423,-0.000558,21,0.0252,2.1392,44.9236,-2.0586,-0.3190210391,0.5549626566,0.1474419562,-0.7098148593,-0.143610285,-0.0644870677,-1.200161772
P08,task2_2_1,1,632.48,4.7447,-0.00068,16,0.0253,2.0042,32.068,-1.176,1.284990891,0.4498843677,-0.5897678246,-0.702930879,-0.3735911685,-0.5409535688,-0.05049702042
P08,task2_5_1,1,490.37,4.8777,-0.001105,17,0.0347,2.2904,38.9365,-1.4576,1.550860267,0.08383295174,-0.4423258685,-0.05583672923,0.1139683045,-0.2863866748,-0.4173059873
P08,task3_3_1,1,282.65,4.2846,-0.003358,11,0.0389,2.3366,25.7025,-1.9793,0.3652427742,-1.856670202,-1.326977605,0.2332904441,0.1926728735,-0.7768777974,-1.096866492
P08,task3_4_2,1,307.59,3.813,-0.002697,22,0.0715,2.7589,60.6962,-0.2269,-0.5774940483,-1.287352588,0.2948839123,2.477468027,0.9120871482,0.5200920679,1.185789878
P08,task3_8_2,1,389.43,3.2294,-0.001756,13,0.0334,1.3662,17.7602,-1.5637,-1.744120871,-0.4768716878,-1.032093693,-0.1453284733,-1.460463788,-1.071242891,-0.5555106442
P08,task3_8_3,1,747.87,3.8421,-0.00023,28,0.0374,2.174,60.8721,-1.4531,-0.5193226286,0.83746822,1.179535649,0.1300307393,-0.08432632394,0.5266114413,-0.4114443383
P08,task3_10_1,1,1266.16,4.0032,-0.000124,32,0.0253,3.3478,107.129,-0.287,-0.1972808514,0.9287657496,1.769303474,-0.702930879,1.915314869,2.241028761,1.107504299
P09,task1_5_2,1,252.49,1.0454,-0.000563,9,0.0356,0.1304,1.1737,-0.226,-2.162306694,0.05116957353,-0.1513978948,-0.2224431381,-0.7348260261,-0.5492141023,0.3638300794
P09,task1_6_2,1,387.63,1.5452,0.000197,23,0.0593,0.2388,5.4932,-0.2708,-0.2506166115,1.39732297,1.75621558,1.219718605,0.212697462,2.21098561,-0.1045488734
P09,task2_2_1,2,303.85,1.6776,-0.000158,10,0.0329,0.3025,3.0253,-0.3951,0.2558014897,0.7685276333,-0.01513978948,-0.3867400455,0.769498626,0.6339751065,-1.40409137
P09,task2_5_1,1,454.28,1.7025,-0.000229,21,0.0462,0.1183,2.484,-0.1962,0.3510417519,0.642768566,1.483699369,0.4225743505,-0.8405920243,0.2880794926,0.6753857221
