participant,task_id,n_explorations,total_duration_s,tonic_mean_uS,tonic_slope,scr_count,scr_rate,scr_amp_mean,scr_amp_sum,bc_mean_uS,tonic_mean_uS_z,tonic_slope_z,scr_count_z,scr_rate_z,scr_amp_mean_z,scr_amp_sum_z,bc_mean_uS_z
P18,task2_5_1,1,251.17,3.1949,-0.000596,10,0.0398,1.1319,11.3193,-0.5064,1.373914208,0.5534147692,-0.230571488,-0.9041024295,-0.2174285679,-0.2326023739,-0.006771605816
P18,task3_3_1,1,70.31,2.7786,-0.005356,8,0.1138,1.1433,9.1468,-0.4324,0.4020921303,-1.87446938,-0.5072572735,2.3072694,-0.2034097336,-0.4470326017,0.2494721143
P18,task3_4_2,1,413.94,2.9754,-0.000321,25,0.0604,1.3386,33.4646,-0.1628,0.8615074194,0.6936811854,1.844571904,-0.01012594721,0.03675503347,1.95318438,1.183030316
P18,task3_8_2,1,275.7,2.0645,-0.002589,13,0.0472,2.0596,26.7749,-0.9952,-1.264922392,-0.4631342032,0.1844571904,-0.5829652465,0.9233848185,1.292897202,-1.699365259
P18,task3_8_3,1,111.9,2.1793,0.000441,6,0.0536,2.3489,14.0936,-0.1994,-0.9969301398,1.082346673,-0.783943059,-0.3052249802,1.279143483,0.04122675424,1.056293557
P18,task3_10_1,1,68.91,1.9853,-0.003454,4,0.058,2.4429,9.7717,-0.8513,-1.449809033,-0.9043358395,-1.060628845,-0.1142785471,1.39473738,-0.3853536837,-1.201075107
P19,task1_5_2,1,416.58,5.3122,0.000175,17,0.0408,0.6047,10.2805,-1.0066,-1.793890181,0.7014694702,0.1960784314,-0.4955526395,-1.177829234,-0.8099406585,1.580597322
P19,task1_6_2,1,374.17,6.4673,0.000203,27,0.0722,0.5165,13.9456,-1.7611,-1.0471046,0.7140001505,1.960784314,1.318478137,-1.414672087,-0.2878502041,0.3258719721
P19,task2_2_1,1,406.49,7.2058,0.000368,15,0.0369,1.0522,15.7828,-1.8889,-0.5696557623,0.7878416592,-0.1568627451,-0.7208621945,0.02383943556,-0.0261425883,0.1133419526
P19,task2_5_1,1,448.4,7.7316,-0.000188,18,0.0401,1.0405,18.7293,-1.662,-0.2297199483,0.5390181511,0.3725490196,-0.535992816,-0.007578493908,0.3935838922,0.4906742015
P19,task3_3_1,1,121.54,8.3583,-0.006054,9,0.074,0.7656,6.8906,-3.0754,0.1754488889,-2.086159364,-1.215686275,1.422467162,-0.7457655717,-1.292829101,-1.85979473
P19,task3_4_2,1,606.34,8.8149,-0.000162,18,0.0297,1.5588,28.0579,-2.6562,0.4706460982,0.5506537827,0.3725490196,-1.136818296,1.384208929,1.722435223,-1.162669659
P19,task3_8_2,2,474.29,9.3088,-0.000613,18,0.038,1.4209,25.5761,-1.7852,0.7899581912,0.3488203256,0.3725490196,-0.6573133457,1.013907008,1.368904872,0.2857939324
P19,task3_8_3,2,187.25,9.7379,-0.00363,13,0.0694,0.9976,12.9694,-1.6878,1.067376331,-1.001360473,-0.5098039216,1.156717431,-0.1227775686,-0.4269090842,0.4477690802
P19,task3_10_1,1,184.89,9.8455,-0.002631,8,0.0433,1.4331,11.4647,-2.0903,1.136940982,-0.554283702,-1.392156863,-0.3511234376,1.046667584,-0.6412523509,-0.2215840717
P20,task1_5_2,1,557.05,19.6741,0.000752,56,0.1005,2.9593,165.7234,2.6089,-1.106348187,0.6004107424,0.8185503291,0.2190968489,-0.3116888358,0.2947246074,1.769823907
P20,task1_6_2,1,125.7,21.6152,-0.001723,12,0.0955,2.0517,24.6207,-2.5772,0.316549776,-0.0510651837,-0.8566224374,-0.01072502057,-1.13515707,-0.8124391935,-0.6907306843
P20,task2_2_1,3,479.92,22.9288,0.000419,35,0.0729,4.0105,140.3682,-0.3724,1.279467072,0.5127576178,0.01903605416,-1.04951987,0.6420681142,0.09577476731,0.3553406917
P20,task2_5_1,1,969.62,22.4808,-0.000371,75,0.0773,4.786,358.9486,-3.3606,0.9510665327,0.3048117666,1.541920387,-0.8472766254,1.345681618,1.810868146,-1.062416241
P20,task3_3_1,1,74.49,19.9012,-0.00904,10,0.1342,3.8743,38.7425,-1.8975,-0.9398755024,-1.977064921,-0.9327666541,1.768096249,0.5184934409,-0.7016323431,-0.3682457813
